"SamplePeriod","TriggerSample","CompressedData"
"0.00000001","5553230","True"
"SampleNumber","Reset","MISO","SCK","MOSI","SPI Example","MISO","SCK","MOSI","MOSI","SCK"
"6735655","1","1","1","0","","1","1","","0","1"
"6748937","1","1","0","0","","1","0","","0","0"
"6762118","1","1","1","0","","1","1","","0","1"
"6762122","1","0","1","0","","0","1","","0","1"
"6775368","1","0","0","0","","0","0","","0","0"
"6788548","1","0","1","0","","0","1","","0","1"
"6801798","1","0","0","0","","0","0","","0","0"
"6815836","1","0","1","0","","0","1","","0","1"
"6815839","1","1","1","0","","1","1","","0","1"
"6829119","1","1","0","0","80h","1","0","00h","0","0"
"6842300","1","1","1","0","","1","1","","0","1"
"6842303","1","0","1","0","","0","1","","0","1"
"6855549","1","0","0","0","","0","0","","0","0"
"6868730","1","0","1","0","","0","1","","0","1"
"6881979","1","0","0","0","","0","0","","0","0"
"6895160","1","0","1","0","","0","1","","0","1"
"6908409","1","0","0","0","","0","0","","0","0"
"6921590","1","0","1","0","","0","1","","0","1"
"6934839","1","0","0","0","","0","0","","0","0"
"6948020","1","0","1","0","","0","1","","0","1"
"6961269","1","0","0","0","","0","0","","0","0"
"6974450","1","0","1","0","","0","1","","0","1"
"6987699","1","0","0","0","","0","0","","0","0"
"7000880","1","0","1","0","","0","1","","0","1"
"7014129","1","0","0","0","","0","0","","0","0"
"7028168","1","0","1","0","","0","1","","0","1"
"7041417","1","0","0","0","00h","0","0","00h","0","0"
"7054598","1","0","1","0","","0","1","","0","1"
"7067847","1","0","0","0","","0","0","","0","0"
"7081028","1","0","1","0","","0","1","","0","1"
"7094277","1","0","0","0","","0","0","","0","0"
"7107458","1","0","1","0","","0","1","","0","1"
"7120707","1","0","0","0","","0","0","","0","0"
"7133888","1","0","1","0","","0","1","","0","1"
"7147137","1","0","0","0","","0","0","","0","0"
"7160318","1","0","1","0","","0","1","","0","1"
"7173567","1","0","0","0","","0","0","","0","0"
"7186748","1","0","1","0","","0","1","","0","1"
"7199997","1","0","0","0","","0","0","","0","0"
"7213178","1","0","1","0","","0","1","","0","1"
"7226427","1","0","0","0","","0","0","","0","0"
"7241216","1","0","1","0","","0","1","","0","1"
"7254465","1","0","0","0","00h","0","0","20h","0","0"
"7267646","1","0","1","0","","0","1","","0","1"
"7280896","1","0","0","0","","0","0","","0","0"
"7294076","1","0","1","0","","0","1","","0","1"
"7294209","1","0","1","1","","0","1","","1","1"
"7307392","1","0","0","1","","0","0","","1","0"
"7320424","1","0","0","0","","0","0","","0","0"
"7320573","1","0","1","0","","0","1","","0","1"
"7333822","1","0","0","0","","0","0","","0","0"
"7347003","1","0","1","0","","0","1","","0","1"
"7360252","1","0","0","0","","0","0","","0","0"
"7373433","1","0","1","0","","0","1","","0","1"
